ID,m00,m10,m01,cx,cy,mu20,mu02,mu11,Circularity,IsCircleLike
163,2.0000,1893.0000,36.0000,946.5000,18.0000,0.5000,0.0000,0.0000,1.2732,NO
164,2.0000,2193.0000,36.0000,1096.5000,18.0000,0.5000,0.0000,0.0000,1.2732,NO
165,1.0000,1160.0000,18.0000,1160.0000,18.0000,0.0000,0.0000,0.0000,0.0000,NO
166,1.0000,106.0000,19.0000,106.0000,19.0000,0.0000,0.0000,0.0000,0.0000,NO
167,1.0000,558.0000,19.0000,558.0000,19.0000,0.0000,0.0000,0.0000,0.0000,NO
168,2.0000,1222.0000,39.0000,611.0000,19.5000,0.0000,0.5000,0.0000,1.2732,NO
169,1.0000,945.0000,19.0000,945.0000,19.0000,0.0000,0.0000,0.0000,0.0000,NO
170,1.0000,952.0000,19.0000,952.0000,19.0000,0.0000,0.0000,0.0000,0.0000,NO
171,3.0000,2880.0000,57.0000,960.0000,19.0000,2.0000,0.0000,0.0000,0.7162,NO
172,1.0000,1077.0000,19.0000,1077.0000,19.0000,0.0000,0.0000,0.0000,0.0000,NO
173,1.0000,1159.0000,19.0000,1159.0000,19.0000,0.0000,0.0000,0.0000,0.0000,NO
174,30.0000,3599.0000,676.0000,119.9667,22.5333,214.9667,49.4667,71.5333,0.5417,NO
175,1.0000,559.0000,20.0000,559.0000,20.0000,0.0000,0.0000,0.0000,0.0000,NO
176,1.0000,575.0000,20.0000,575.0000,20.0000,0.0000,0.0000,0.0000,0.0000,NO
177,1.0000,787.0000,20.0000,787.0000,20.0000,0.0000,0.0000,0.0000,0.0000,NO
178,1768.0000,1475586.0000,63995.0000,834.6075,36.1963,2287175.5814,78478.8954,41925.2093,0.2103,NO
179,13.0000,12220.0000,286.0000,940.0000,22.0000,80.0000,22.0000,-40.0000,0.2637,NO
180,1.0000,951.0000,20.0000,951.0000,20.0000,0.0000,0.0000,0.0000,0.0000,NO
181,2.0000,1915.0000,40.0000,957.5000,20.0000,0.5000,0.0000,0.0000,1.2732,NO
182,1.0000,962.0000,20.0000,962.0000,20.0000,0.0000,0.0000,0.0000,0.0000,NO
183,5.0000,5533.0000,103.0000,1106.6000,20.6000,5.2000,1.2000,-1.8000,0.6217,NO
184,1.0000,1157.0000,20.0000,1157.0000,20.0000,0.0000,0.0000,0.0000,0.0000,NO
185,2.0000,271.0000,42.0000,135.5000,21.0000,0.5000,0.0000,0.0000,1.2732,NO
186,4.0000,2306.0000,88.0000,576.5000,22.0000,1.0000,2.0000,1.0000,0.8488,NO
187,1.0000,616.0000,21.0000,616.0000,21.0000,0.0000,0.0000,0.0000,0.0000,NO
188,2.0000,1593.0000,42.0000,796.5000,21.0000,0.5000,0.0000,0.0000,1.2732,NO
189,2.0000,1837.0000,42.0000,918.5000,21.0000,0.5000,0.0000,0.0000,1.2732,NO
190,2.0000,1909.0000,42.0000,954.5000,21.0000,0.5000,0.0000,0.0000,1.2732,NO
191,2.0000,1947.0000,42.0000,973.5000,21.0000,0.5000,0.0000,0.0000,1.2732,NO
192,2.0000,1953.0000,42.0000,976.5000,21.0000,0.5000,0.0000,0.0000,1.2732,NO
